Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
TAS,0.0,0.0,1,2021-10-19,0
SA,0.0,0.0,0,2021-10-19,0
QLD,0.0,0.0,1,2021-10-19,0
NT,0.0,0.0,0,2021-10-19,0
NSW,284.0,84.0,79,2021-10-19,368
ACT,0.0,8.0,7,2021-10-19,8
Australia,524.0,1442.0,766,2021-10-19,1966
VIC,269.0,1357.0,679,2021-10-20,1626
TAS,0.0,0.0,1,2021-10-20,0
SA,0.0,0.0,0,2021-10-20,0
QLD,0.0,0.0,1,2021-10-20,0
NT,0.0,0.0,0,2021-10-20,0
NSW,291.0,84.0,82,2021-10-20,375
Australia,560.0,1449.0,770,2021-10-20,2009
WA,0.0,0.0,0,2021-10-20,0
ACT,0.0,8.0,7,2021-10-20,8
TAS,0.0,0.0,1,2021-10-21,0
VIC,269.0,1357.0,683,2021-10-21,1626
WA,0.0,0.0,0,2021-10-21,0
QLD,0.0,0.0,1,2021-10-21,0
NT,0.0,0.0,0,2021-10-21,0
NSW,291.0,84.0,82,2021-10-21,375
ACT,0.0,8.0,7,2021-10-21,8
Australia,560.0,1449.0,774,2021-10-21,2009
SA,0.0,0.0,0,2021-10-21,0
Australia,560.0,1449.0,774,2021-10-22,2009
SA,0.0,0.0,0,2021-10-22,0
QLD,0.0,0.0,1,2021-10-22,0
NT,0.0,0.0,0,2021-10-22,0
NSW,291.0,84.0,82,2021-10-22,375
ACT,0.0,8.0,7,2021-10-22,8
WA,0.0,0.0,0,2021-10-22,0
TAS,0.0,0.0,1,2021-10-22,0
VIC,269.0,1357.0,683,2021-10-22,1626
Australia,572.0,1449.0,776,2021-10-23,2021
WA,0.0,0.0,0,2021-10-23,0
TAS,0.0,0.0,1,2021-10-23,0
SA,0.0,0.0,0,2021-10-23,0
QLD,0.0,0.0,1,2021-10-23,0
NT,0.0,0.0,0,2021-10-23,0
NSW,291.0,84.0,83,2021-10-23,375
ACT,0.0,8.0,7,2021-10-23,8
VIC,281.0,1357.0,684,2021-10-23,1638
Australia,572.0,1449.0,776,2021-10-24,2021
ACT,0.0,8.0,7,2021-10-24,8
NSW,291.0,84.0,83,2021-10-24,375
NT,0.0,0.0,0,2021-10-24,0
SA,0.0,0.0,0,2021-10-24,0
TAS,0.0,0.0,1,2021-10-24,0
VIC,281.0,1357.0,684,2021-10-24,1638
WA,0.0,0.0,0,2021-10-24,0
QLD,0.0,0.0,1,2021-10-24,0
QLD,0.0,0.0,1,2021-10-25,0
ACT,0.0,8.0,7,2021-10-25,8
WA,0.0,0.0,0,2021-10-25,0
VIC,325.0,1363.0,685,2021-10-25,1688
NSW,300.0,84.0,84,2021-10-25,384
SA,0.0,0.0,0,2021-10-25,0
TAS,0.0,0.0,1,2021-10-25,0
NT,0.0,0.0,0,2021-10-25,0
Australia,625.0,1455.0,778,2021-10-25,2080
QLD,0.0,0.0,1,2021-10-26,0
NT,0.0,0.0,0,2021-10-26,0
NSW,304.0,84.0,84,2021-10-26,388
ACT,0.0,8.0,7,2021-10-26,8
Australia,629.0,1460.0,781,2021-10-26,2089
SA,0.0,0.0,0,2021-10-26,0
TAS,0.0,0.0,1,2021-10-26,0
VIC,325.0,1368.0,688,2021-10-26,1693
WA,0.0,0.0,0,2021-10-26,0
QLD,0.0,0.0,1,2021-10-27,0
SA,0.0,0.0,0,2021-10-27,0
TAS,0.0,0.0,1,2021-10-27,0
VIC,334.0,1368.0,696,2021-10-27,1702
NT,0.0,0.0,0,2021-10-27,0
NSW,305.0,89.0,84,2021-10-27,394
ACT,0.0,8.0,7,2021-10-27,8
Australia,639.0,1465.0,789,2021-10-27,2104
WA,0.0,0.0,0,2021-10-27,0
WA,0.0,0.0,0,2021-10-28,0
Australia,657.0,1465.0,793,2021-10-28,2122
NSW,304.0,89.0,85,2021-10-28,393
NT,0.0,0.0,0,2021-10-28,0
QLD,0.0,0.0,1,2021-10-28,0
SA,0.0,0.0,0,2021-10-28,0
TAS,0.0,0.0,1,2021-10-28,0
VIC,353.0,1368.0,699,2021-10-28,1721
ACT,0.0,8.0,7,2021-10-28,8
VIC,359.0,1368.0,701,2021-10-29,1727
NSW,304.0,89.0,87,2021-10-29,393
NT,0.0,0.0,0,2021-10-29,0
QLD,0.0,0.0,1,2021-10-29,0
SA,0.0,0.0,0,2021-10-29,0
TAS,0.0,0.0,1,2021-10-29,0
WA,0.0,0.0,0,2021-10-29,0
Australia,658.0,1465.0,797,2021-10-29,2123
ACT,0.0,8.0,7,2021-10-29,8
SA,0.0,0.0,0,2021-10-30,0
QLD,0.0,0.0,1,2021-10-30,0
ACT,0.0,8.0,7,2021-10-30,8
NSW,304.0,89.0,87,2021-10-30,393
NT,0.0,0.0,0,2021-10-30,0
TAS,0.0,0.0,1,2021-10-30,0
Australia,658.0,1465.0,797,2021-10-30,2123
WA,0.0,0.0,0,2021-10-30,0
VIC,359.0,1368.0,701,2021-10-30,1727
Australia,658.0,1465.0,797,2021-10-31,2123
ACT,0.0,8.0,7,2021-10-31,8
NSW,304.0,89.0,87,2021-10-31,393
NT,0.0,0.0,0,2021-10-31,0
QLD,0.0,0.0,1,2021-10-31,0
SA,0.0,0.0,0,2021-10-31,0
WA,0.0,0.0,0,2021-10-31,0
VIC,359.0,1368.0,701,2021-10-31,1727
TAS,0.0,0.0,1,2021-10-31,0
TAS,0.0,0.0,1,2021-11-01,0
WA,0.0,0.0,0,2021-11-01,0
Australia,697.0,1487.0,806,2021-11-01,2184
ACT,0.0,8.0,7,2021-11-01,8
NSW,306.0,89.0,88,2021-11-01,395
NT,0.0,0.0,0,2021-11-01,0
QLD,0.0,0.0,1,2021-11-01,0
SA,0.0,0.0,0,2021-11-01,0
VIC,391.0,1390.0,709,2021-11-01,1781
WA,0.0,0.0,0,2021-11-02,0
Australia,707.0,1487.0,810,2021-11-02,2194
ACT,0.0,8.0,7,2021-11-02,8
NSW,305.0,89.0,89,2021-11-02,394
NT,0.0,0.0,0,2021-11-02,0
QLD,0.0,0.0,1,2021-11-02,0
SA,0.0,0.0,0,2021-11-02,0
TAS,0.0,0.0,1,2021-11-02,0
VIC,402.0,1390.0,712,2021-11-02,1792
SA,0.0,0.0,0,2021-11-03,0
VIC,387.0,1422.0,713,2021-11-03,1809
TAS,0.0,0.0,1,2021-11-03,0
QLD,0.0,0.0,1,2021-11-03,0
NT,0.0,0.0,0,2021-11-03,0
NSW,293.0,100.0,90,2021-11-03,393
ACT,0.0,8.0,7,2021-11-03,8
Australia,680.0,1530.0,812,2021-11-03,2210
WA,0.0,0.0,0,2021-11-03,0
QLD,0.0,0.0,1,2021-11-04,0
SA,0.0,0.0,0,2021-11-04,0
NT,0.0,0.0,0,2021-11-04,0
TAS,0.0,0.0,1,2021-11-04,0
ACT,0.0,8.0,7,2021-11-04,8
NSW,283.0,110.0,91,2021-11-04,393
VIC,400.0,1430.0,715,2021-11-04,1830
WA,0.0,0.0,0,2021-11-04,0
Australia,683.0,1548.0,815,2021-11-04,2231
NT,0.0,0.0,0,2021-11-05,0
NSW,281.0,110.0,93,2021-11-05,391
Australia,691.0,1550.0,819,2021-11-05,2241
ACT,0.0,8.0,7,2021-11-05,8
WA,0.0,0.0,0,2021-11-05,0
TAS,0.0,0.0,1,2021-11-05,0
SA,0.0,0.0,0,2021-11-05,0
QLD,0.0,0.0,1,2021-11-05,0
VIC,410.0,1432.0,717,2021-11-05,1842
Australia,691.0,1550.0,819,2021-11-06,2241
ACT,0.0,8.0,7,2021-11-06,8
NSW,281.0,110.0,93,2021-11-06,391
NT,0.0,0.0,0,2021-11-06,0
QLD,0.0,0.0,1,2021-11-06,0
SA,0.0,0.0,0,2021-11-06,0
WA,0.0,0.0,0,2021-11-06,0
VIC,410.0,1432.0,717,2021-11-06,1842
TAS,0.0,0.0,1,2021-11-06,0
QLD,0.0,0.0,1,2021-11-07,0
NT,0.0,0.0,0,2021-11-07,0
NSW,281.0,110.0,93,2021-11-07,391
ACT,0.0,8.0,7,2021-11-07,8
Australia,691.0,1550.0,819,2021-11-07,2241
VIC,410.0,1432.0,717,2021-11-07,1842
WA,0.0,0.0,0,2021-11-07,0
SA,0.0,0.0,0,2021-11-07,0
TAS,0.0,0.0,1,2021-11-07,0
SA,0.0,0.0,0,2021-11-08,0
Australia,700.0,1569.0,832,2021-11-08,2269
ACT,0.0,8.0,7,2021-11-08,8
VIC,421.0,1451.0,728,2021-11-08,1872
NSW,279.0,110.0,95,2021-11-08,389
NT,0.0,0.0,0,2021-11-08,0
QLD,0.0,0.0,1,2021-11-08,0
TAS,0.0,0.0,1,2021-11-08,0
WA,0.0,0.0,0,2021-11-08,0
WA,0.0,0.0,0,2021-11-09,0
ACT,0.0,8.0,7,2021-11-09,8
NSW,271.0,118.0,96,2021-11-09,389
NT,0.0,0.0,0,2021-11-09,0
SA,0.0,0.0,0,2021-11-09,0
VIC,422.0,1461.0,730,2021-11-09,1883
Australia,693.0,1587.0,835,2021-11-09,2280
QLD,0.0,0.0,1,2021-11-09,0
TAS,0.0,0.0,1,2021-11-09,0
QLD,0.0,0.0,1,2021-11-10,0
TAS,0.0,0.0,1,2021-11-10,0
VIC,440.0,1468.0,731,2021-11-10,1908
WA,0.0,0.0,0,2021-11-10,0
Australia,710.0,1594.0,836,2021-11-10,2304
ACT,0.0,8.0,7,2021-11-10,8
NSW,270.0,118.0,96,2021-11-10,388
SA,0.0,0.0,0,2021-11-10,0
NT,0.0,0.0,0,2021-11-10,0
SA,0.0,0.0,0,2021-11-11,0
QLD,0.0,0.0,1,2021-11-11,0
NSW,277.0,118.0,96,2021-11-11,395
Australia,729.0,1596.0,838,2021-11-11,2325
TAS,0.0,0.0,1,2021-11-11,0
VIC,452.0,1470.0,733,2021-11-11,1922
WA,0.0,0.0,0,2021-11-11,0
NT,0.0,0.0,0,2021-11-11,0
ACT,0.0,8.0,7,2021-11-11,8
Australia,737.0,1599.0,839,2021-11-12,2336
VIC,460.0,1473.0,734,2021-11-12,1933
WA,0.0,0.0,0,2021-11-12,0
ACT,0.0,8.0,7,2021-11-12,8
NSW,277.0,118.0,96,2021-11-12,395
TAS,0.0,0.0,1,2021-11-12,0
QLD,0.0,0.0,1,2021-11-12,0
SA,0.0,0.0,0,2021-11-12,0
NT,0.0,0.0,0,2021-11-12,0
NT,0.0,0.0,0,2021-11-13,0
NSW,277.0,118.0,96,2021-11-13,395
WA,0.0,0.0,0,2021-11-13,0
ACT,0.0,8.0,7,2021-11-13,8
SA,0.0,0.0,0,2021-11-13,0
TAS,0.0,0.0,1,2021-11-13,0
Australia,737.0,1599.0,839,2021-11-13,2336
VIC,460.0,1473.0,734,2021-11-13,1933
QLD,0.0,0.0,1,2021-11-13,0
TAS,0.0,0.0,1,2021-11-14,0
SA,0.0,0.0,0,2021-11-14,0
QLD,0.0,0.0,1,2021-11-14,0
WA,0.0,0.0,0,2021-11-14,0
NT,0.0,0.0,0,2021-11-14,0
ACT,0.0,8.0,7,2021-11-14,8
Australia,737.0,1599.0,839,2021-11-14,2336
NSW,277.0,118.0,96,2021-11-14,395
VIC,460.0,1473.0,734,2021-11-14,1933
NT,0.0,0.0,0,2021-11-15,0
TAS,0.0,0.0,1,2021-11-15,0
SA,0.0,0.0,0,2021-11-15,0
QLD,0.0,0.0,1,2021-11-15,0
NSW,276.0,118.0,97,2021-11-15,394
ACT,1.0,8.0,7,2021-11-15,9
Australia,751.0,1611.0,843,2021-11-15,2362
VIC,474.0,1485.0,737,2021-11-15,1959
WA,0.0,0.0,0,2021-11-15,0
WA,0.0,0.0,0,2021-11-16,0
Australia,767.0,1618.0,845,2021-11-16,2385
TAS,0.0,0.0,1,2021-11-16,0
SA,0.0,0.0,0,2021-11-16,0
QLD,0.0,0.0,1,2021-11-16,0
NT,0.0,0.0,0,2021-11-16,0
NSW,276.0,118.0,98,2021-11-16,394
ACT,2.0,8.0,7,2021-11-16,10
VIC,489.0,1492.0,738,2021-11-16,1981
ACT,2.0,8.0,7,2021-11-17,10
Australia,762.0,1647.0,846,2021-11-17,2409
NSW,276.0,118.0,98,2021-11-17,394
NT,0.0,0.0,0,2021-11-17,0
WA,0.0,0.0,0,2021-11-17,0
VIC,484.0,1521.0,739,2021-11-17,2005
TAS,0.0,0.0,1,2021-11-17,0
SA,0.0,0.0,0,2021-11-17,0
QLD,0.0,0.0,1,2021-11-17,0
SA,0.0,0.0,0,2021-11-18,0
QLD,0.0,0.0,1,2021-11-18,0
VIC,444.0,1565.0,740,2021-11-18,2009
TAS,0.0,0.0,1,2021-11-18,0
Australia,722.0,1691.0,847,2021-11-18,2413
ACT,2.0,8.0,7,2021-11-18,10
NSW,276.0,118.0,98,2021-11-18,394
NT,0.0,0.0,0,2021-11-18,0
WA,0.0,0.0,0,2021-11-18,0
ACT,2.0,8.0,7,2021-11-19,10
Australia,734.0,1698.0,848,2021-11-19,2432
NT,0.0,0.0,0,2021-11-19,0
NSW,276.0,118.0,98,2021-11-19,394
WA,0.0,0.0,0,2021-11-19,0
VIC,455.0,1572.0,741,2021-11-19,2027
QLD,0.0,0.0,1,2021-11-19,0
TAS,0.0,0.0,1,2021-11-19,0
SA,0.0,0.0,0,2021-11-19,0
NT,0.0,0.0,0,2021-11-20,0
WA,0.0,0.0,0,2021-11-20,0
VIC,455.0,1572.0,741,2021-11-20,2027
TAS,0.0,0.0,1,2021-11-20,0
SA,0.0,0.0,0,2021-11-20,0
QLD,0.0,0.0,1,2021-11-20,0
NSW,276.0,118.0,98,2021-11-20,394
ACT,2.0,8.0,7,2021-11-20,10
Australia,734.0,1698.0,848,2021-11-20,2432
TAS,0.0,0.0,1,2021-11-21,0
WA,0.0,0.0,0,2021-11-21,0
NT,0.0,0.0,0,2021-11-21,0
SA,0.0,0.0,0,2021-11-21,0
VIC,455.0,1572.0,741,2021-11-21,2027
Australia,734.0,1698.0,848,2021-11-21,2432
QLD,0.0,0.0,1,2021-11-21,0
NSW,276.0,118.0,98,2021-11-21,394
ACT,2.0,8.0,7,2021-11-21,10
QLD,0.0,0.0,1,2021-11-22,0
TAS,0.0,0.0,1,2021-11-22,0
ACT,4.0,8.0,7,2021-11-22,12
NSW,276.0,118.0,98,2021-11-22,394
NT,0.0,0.0,0,2021-11-22,0
WA,0.0,0.0,0,2021-11-22,0
VIC,442.0,1609.0,751,2021-11-22,2051
Australia,722.0,1735.0,858,2021-11-22,2457
SA,0.0,0.0,0,2021-11-22,0
ACT,4.0,8.0,7,2021-11-23,12
Australia,724.0,1740.0,858,2021-11-23,2464
VIC,444.0,1614.0,751,2021-11-23,2058
NT,0.0,0.0,0,2021-11-23,0
QLD,0.0,0.0,1,2021-11-23,0
SA,0.0,0.0,0,2021-11-23,0
TAS,0.0,0.0,1,2021-11-23,0
NSW,276.0,118.0,98,2021-11-23,394
WA,0.0,0.0,0,2021-11-23,0
NT,0.0,0.0,0,2021-11-24,0
QLD,0.0,0.0,1,2021-11-24,0
SA,0.0,0.0,0,2021-11-24,0
TAS,0.0,0.0,1,2021-11-24,0
NSW,271.0,122.0,99,2021-11-24,393
ACT,4.0,8.0,7,2021-11-24,12
Australia,737.0,1754.0,862,2021-11-24,2491
WA,0.0,0.0,0,2021-11-24,0
VIC,462.0,1624.0,754,2021-11-24,2086
NT,0.0,0.0,0,2021-11-25,0
WA,0.0,0.0,0,2021-11-25,0
Australia,748.0,1755.0,865,2021-11-25,2503
ACT,4.0,8.0,7,2021-11-25,12
NSW,273.0,122.0,99,2021-11-25,395
VIC,471.0,1625.0,757,2021-11-25,2096
QLD,0.0,0.0,1,2021-11-25,0
SA,0.0,0.0,0,2021-11-25,0
TAS,0.0,0.0,1,2021-11-25,0
NSW,274.0,122.0,99,2021-11-26,396
WA,0.0,0.0,0,2021-11-26,0
VIC,487.0,1625.0,759,2021-11-26,2112
TAS,0.0,0.0,1,2021-11-26,0
SA,0.0,0.0,0,2021-11-26,0
Australia,765.0,1755.0,867,2021-11-26,2520
NT,0.0,0.0,0,2021-11-26,0
ACT,4.0,8.0,7,2021-11-26,12
QLD,0.0,0.0,1,2021-11-26,0
TAS,0.0,0.0,1,2021-11-27,0
ACT,4.0,8.0,7,2021-11-27,12
NSW,274.0,122.0,99,2021-11-27,396
NT,0.0,0.0,0,2021-11-27,0
QLD,0.0,0.0,1,2021-11-27,0
SA,0.0,0.0,0,2021-11-27,0
VIC,487.0,1625.0,759,2021-11-27,2112
Australia,765.0,1755.0,867,2021-11-27,2520
WA,0.0,0.0,0,2021-11-27,0
VIC,487.0,1625.0,759,2021-11-28,2112
WA,0.0,0.0,0,2021-11-28,0
ACT,4.0,8.0,7,2021-11-28,12
NSW,274.0,122.0,99,2021-11-28,396
NT,0.0,0.0,0,2021-11-28,0
QLD,0.0,0.0,1,2021-11-28,0
SA,0.0,0.0,0,2021-11-28,0
TAS,0.0,0.0,1,2021-11-28,0
Australia,765.0,1755.0,867,2021-11-28,2520
VIC,488.0,1627.0,764,2021-11-29,2115
ACT,4.0,8.0,7,2021-11-29,12
NSW,276.0,122.0,99,2021-11-29,398
NT,0.0,0.0,0,2021-11-29,0
QLD,0.0,0.0,1,2021-11-29,0
SA,0.0,0.0,0,2021-11-29,0
TAS,0.0,0.0,1,2021-11-29,0
Australia,768.0,1757.0,872,2021-11-29,2525
WA,0.0,0.0,0,2021-11-29,0
VIC,473.0,1648.0,765,2021-11-30,2121
TAS,0.0,0.0,1,2021-11-30,0
SA,0.0,0.0,0,2021-11-30,0
QLD,0.0,0.0,1,2021-11-30,0
NT,0.0,0.0,0,2021-11-30,0
NSW,276.0,122.0,99,2021-11-30,398
ACT,4.0,8.0,7,2021-11-30,12
Australia,753.0,1778.0,873,2021-11-30,2531
WA,0.0,0.0,0,2021-11-30,0
TAS,0.0,0.0,1,2021-12-01,0
SA,0.0,0.0,0,2021-12-01,0
QLD,0.0,0.0,1,2021-12-01,0
NT,0.0,0.0,0,2021-12-01,0
NSW,276.0,122.0,99,2021-12-01,398
ACT,4.0,8.0,7,2021-12-01,12
Australia,758.0,1783.0,874,2021-12-01,2541
VIC,478.0,1653.0,766,2021-12-01,2131
WA,0.0,0.0,0,2021-12-01,0
Australia,730.0,1813.0,874,2021-12-02,2543
ACT,4.0,8.0,7,2021-12-02,12
NSW,276.0,122.0,99,2021-12-02,398
NT,0.0,0.0,0,2021-12-02,0
QLD,0.0,0.0,1,2021-12-02,0
SA,0.0,0.0,0,2021-12-02,0
TAS,0.0,0.0,1,2021-12-02,0
VIC,450.0,1683.0,766,2021-12-02,2133
WA,0.0,0.0,0,2021-12-02,0
NT,0.0,0.0,0,2021-12-03,0
QLD,0.0,0.0,1,2021-12-03,0
SA,0.0,0.0,0,2021-12-03,0
TAS,0.0,0.0,1,2021-12-03,0
ACT,4.0,8.0,7,2021-12-03,12
WA,0.0,0.0,0,2021-12-03,0
NSW,277.0,122.0,99,2021-12-03,399
VIC,480.0,1683.0,769,2021-12-03,2163
Australia,761.0,1813.0,877,2021-12-03,2574
WA,0.0,0.0,0,2021-12-04,0
Australia,761.0,1813.0,877,2021-12-04,2574
VIC,480.0,1683.0,769,2021-12-04,2163
TAS,0.0,0.0,1,2021-12-04,0
SA,0.0,0.0,0,2021-12-04,0
QLD,0.0,0.0,1,2021-12-04,0
NT,0.0,0.0,0,2021-12-04,0
NSW,277.0,122.0,99,2021-12-04,399
ACT,4.0,8.0,7,2021-12-04,12
SA,0.0,0.0,0,2021-12-05,0
Australia,761.0,1813.0,877,2021-12-05,2574
WA,0.0,0.0,0,2021-12-05,0
VIC,480.0,1683.0,769,2021-12-05,2163
NT,0.0,0.0,0,2021-12-05,0
NSW,277.0,122.0,99,2021-12-05,399
QLD,0.0,0.0,1,2021-12-05,0
ACT,4.0,8.0,7,2021-12-05,12
TAS,0.0,0.0,1,2021-12-05,0
NSW,303.0,122.0,99,2021-12-06,425
QLD,0.0,0.0,1,2021-12-06,0
Australia,798.0,1816.0,882,2021-12-06,2614
ACT,4.0,8.0,7,2021-12-06,12
SA,0.0,0.0,0,2021-12-06,0
NT,0.0,0.0,0,2021-12-06,0
VIC,491.0,1686.0,774,2021-12-06,2177
WA,0.0,0.0,0,2021-12-06,0
TAS,0.0,0.0,1,2021-12-06,0
SA,0.0,0.0,0,2021-12-07,0
TAS,0.0,0.0,1,2021-12-07,0
VIC,487.0,1710.0,775,2021-12-07,2197
WA,0.0,0.0,0,2021-12-07,0
NSW,305.0,122.0,100,2021-12-07,427
ACT,4.0,8.0,7,2021-12-07,12
NT,0.0,0.0,0,2021-12-07,0
QLD,0.0,0.0,1,2021-12-07,0
Australia,796.0,1840.0,884,2021-12-07,2636
SA,0.0,0.0,0,2021-12-08,0
QLD,0.0,0.0,1,2021-12-08,0
NT,0.0,0.0,0,2021-12-08,0
NSW,305.0,122.0,101,2021-12-08,427
ACT,4.0,8.0,7,2021-12-08,12
WA,0.0,0.0,0,2021-12-08,0
VIC,500.0,1710.0,775,2021-12-08,2210
TAS,0.0,0.0,1,2021-12-08,0
Australia,809.0,1840.0,885,2021-12-08,2649
WA,0.0,0.0,0,2021-12-09,0
VIC,503.0,1712.0,776,2021-12-09,2215
TAS,0.0,0.0,1,2021-12-09,0
SA,0.0,0.0,0,2021-12-09,0
NT,0.0,0.0,0,2021-12-09,0
NSW,307.0,122.0,101,2021-12-09,429
ACT,4.0,8.0,7,2021-12-09,12
Australia,814.0,1842.0,886,2021-12-09,2656
QLD,0.0,0.0,1,2021-12-09,0
ACT,4.0,8.0,7,2021-12-10,12
Australia,826.0,1847.0,887,2021-12-10,2673
TAS,0.0,0.0,1,2021-12-10,0
SA,0.0,0.0,0,2021-12-10,0
VIC,515.0,1717.0,777,2021-12-10,2232
WA,0.0,0.0,0,2021-12-10,0
NT,0.0,0.0,0,2021-12-10,0
NSW,307.0,122.0,101,2021-12-10,429
QLD,0.0,0.0,1,2021-12-10,0
Australia,826.0,1847.0,887,2021-12-11,2673
NSW,307.0,122.0,101,2021-12-11,429
NT,0.0,0.0,0,2021-12-11,0
QLD,0.0,0.0,1,2021-12-11,0
SA,0.0,0.0,0,2021-12-11,0
TAS,0.0,0.0,1,2021-12-11,0
VIC,515.0,1717.0,777,2021-12-11,2232
WA,0.0,0.0,0,2021-12-11,0
